Priority,Action_Type,Entity_Type,Entity_Name,Current_State,Recommended_Change,Expected_Impact,Notes
1-IMMEDIATE,MODIFY_SETTING,Campaign,All campaigns,Daily budget ~$119/day,Reduce to $33/day total ($16-17/campaign),Saves ~$2570/mo overspend,Single most urgent fix — 3.6x over budget
1-IMMEDIATE,MODIFY_SETTING,Campaign,All campaigns,Presence & Interest geo-targeting,Switch to Presence Only,Saves $400-460/mo (42% out-of-state waste),Only 9.1% of spend reaches service area
1-IMMEDIATE,PAUSE,Campaign,DS Cities,Active — duplicate of DS Cities #2,Pause entire campaign,Stops Google bidding against itself,100% overlap with DS Cities #2 (18 identical ad groups)
1-IMMEDIATE,PAUSE,Campaign,DS Property Features,Active — near-duplicate of #2,Pause entire campaign,Stops internal auction competition,89 overlapping ad groups with #2 version
1-IMMEDIATE,ADD_NEGATIVE,Campaign,All campaigns,"No negative keywords",Add 65+ out-of-area NC city negatives,Stops $39.43/2wk waste on wrong-city clicks,"asheville, charlotte, raleigh, cary, durham, fayetteville, etc."
1-IMMEDIATE,ADD_NEGATIVE,Campaign,All campaigns,"No negative keywords",Add 40+ other-state negatives,Stops $236.51/2wk out-of-state spend,"florida, georgia, virginia, california, texas, etc."
1-IMMEDIATE,ADD_NEGATIVE,Campaign,All campaigns,"No negative keywords",Add rental/lease negatives,Blocks rental queries matching DSA,"rent, rental, apartment, lease, tenant, section 8"
1-IMMEDIATE,ADD_NEGATIVE,Campaign,All campaigns,"No negative keywords",Add mobile/manufactured home negatives,Blocks irrelevant housing type queries,"mobile home, manufactured, trailer, double wide, modular"
1-IMMEDIATE,ADD_NEGATIVE,Campaign,All campaigns,"No negative keywords",Add foreclosure/distressed negatives,Blocks low-intent bargain queries,"foreclosure, bank owned, reo, short sale, tax lien"
1-IMMEDIATE,ADD_NEGATIVE,Campaign,All campaigns,"No negative keywords",Add low-intent/aspirational negatives,Blocks browsing-only queries,"most expensive, mansions, cheapest, celebrity homes"
1-IMMEDIATE,PAUSE,Ad Group,121 dead/near-dead ad groups,0 impressions or <5 impressions,Pause all 121 ad groups,Reduces noise — 55% of ad groups are inactive,"56 have 0 impressions, 65 have 1-5"
1-IMMEDIATE,PAUSE,Ad Group,All luxury-homes ad groups (16),90.4% irrelevant match rate,Pause all 16 luxury-homes feature groups,Stops waste — 9/10 matches are irrelevant,Worst-performing feature type by match quality
1-IMMEDIATE,MODIFY_SETTING,Campaign,All campaigns,No ad schedule adjustments,Set -75% bid for 1am-5am,Saves ~$79/mo,$88.12 spent late-night with only 1 conversion
1-IMMEDIATE,MODIFY_SETTING,Campaign,All campaigns,No device adjustments,Set -30% bid for desktop,Saves ~$82/mo,0 conversions from desktop ($38.19 spent)
1-IMMEDIATE,MODIFY_SETTING,Campaign,All campaigns,No day-of-week adjustments,Set -50% bid for Saturdays,Saves ~$80/mo,0 conversions on Saturdays ($74.64 spent)
1-IMMEDIATE,MODIFY_SETTING,Campaign,All campaigns,DSA targets all site pages,Exclude /property-search/results/ from DSA,Redirects budget to content pages,83% of landing URLs are IDX results with 0 conversions
2-THIS_WEEK,MODIFY_SETTING,Campaign,Remaining campaigns,Maximize Clicks bidding,Switch to Maximize Conversions,Optimizes for leads instead of cheap clicks,30+ conversions = enough data for smart bidding
